Week,Content
4,Dictionaries and Sets
5,Classes and Object-Oriented Programming
6,Inheritance
7,GUI and Classes
8,GUI and Classes (cont.)
9,Paramiko/Pyez intro. Network device communication.
10,Software Project structure. Network device communication.
11,Paramiko/Pyez project. Network device communication.
12,Paramiko/Pyez project. Network device communication. (cont.)
13,Lecturer free week. Easter holiday
14,Paramiko/Pyez project. Network device communication.
15,SQL and Creating a database
16,SQL and Creating a database (cont.)
17,Python and database SQLite
18,Python and database SQLite (cont.)
19,Database design.
20,Database design. (cont.)
21,Python and database MySql
22,Python Database project.
23,Python Database project. (cont.)
24,Presentations. Possible Review.
